energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.712,0.0677,149.998,0.112,0.0185,0.0,4,0.758,7,193387,-3.781,0.795,1,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21
0.844,0.0723,113.324,0.0334,0.25,0.000678,4,0.788,2,251240,-3.131,0.382,1,audio_features,spotify:track:6ic8OlLUNEATToEFU3xmaH
0.587,0.105,111.97,0.0336,0.0505,0.00714,4,0.855,8,177466,-4.589,0.64,1,audio_features,spotify:track:1vxw6aYJls2oq3gW0DujAo
0.693,0.0858,129.989,0.0981,0.144,7.06e-06,4,0.884,9,187202,-8.598,0.587,0,audio_features,spotify:track:3ju9dPdSqHHludcvb1V4M8
0.423,0.0777,145.039,0.0453,0.457,0.000306,4,0.689,6,225549,-8.602,0.355,0,audio_features,spotify:track:1uRj7VzkLDX0Eip0Y3lqpy
0.58,0.436,110.264,0.0278,0.357,0.000353,4,0.629,7,210300,-6.208,0.655,0,audio_features,spotify:track:7KX65PC1UZuImsUInThbav
0.201,0.0862,119.911,0.0347,0.888,0.0,4,0.573,6,268893,-8.192,0.173,1,audio_features,spotify:track:1Y4P4dtL1a0Tz9sIZuSeC0
0.756,0.106,117.016,0.047,0.00632,0.00577,4,0.736,11,231847,-7.099,0.712,1,audio_features,spotify:track:2NjO87HyT80fsgejd3PLYW
0.0909,0.14,90.075,0.0373,0.959,4.59e-05,3,0.417,7,162326,-15.526,0.101,1,audio_features,spotify:track:31FBEeTXpaeCncCbCmS7ax
0.388,0.107,142.961,0.033,0.603,0.0,3,0.59,5,166200,-9.288,0.506,0,audio_features,spotify:track:3gy8PSkBSyvPyWZazgQn0F
0.353,0.105,138.059,0.0303,0.706,0.0,4,0.544,11,225039,-7.275,0.357,0,audio_features,spotify:track:3ksNHUNCTP6Pan8rjFnmtw
0.361,0.098,171.649,0.0738,0.832,4.66e-06,4,0.483,0,193795,-7.889,0.307,1,audio_features,spotify:track:2ZTYlnhhV1UAReg7wIGolx
0.906,0.169,81.994,0.228,0.0114,0.0,4,0.651,0,229027,-5.29,0.579,1,audio_features,spotify:track:7CJQUfl628ppAuH2MnTptQ
0.911,0.352,163.069,0.071,0.0792,0.0,4,0.641,1,165851,-6.916,0.811,0,audio_features,spotify:track:2cAmsZQwOuWBFhdBr0Za9C
0.468,0.0935,129.961,0.0284,0.759,1.73e-05,4,0.56,9,194920,-6.792,0.124,1,audio_features,spotify:track:2MYP4ooZ8XgGDEByjtCP9N
0.448,0.102,84.172,0.0291,0.109,2.45e-05,4,0.504,7,189235,-6.581,0.357,0,audio_features,spotify:track:7LiB4afKxBBHzr3jxR6U1H
0.214,0.126,165.993,0.0516,0.887,0.621,4,0.524,1,307168,-19.911,0.208,0,audio_features,spotify:track:3mlYx1bWcPjDtm69hIWGUX
0.383,0.111,100.012,0.0407,0.475,0.000528,4,0.742,6,188746,-17.783,0.299,1,audio_features,spotify:track:7EesndxnjB8BgX5XvpqiQU
0.562,0.128,139.617,0.0315,0.671,0.000607,4,0.382,2,226288,-5.744,0.117,1,audio_features,spotify:track:5l43igI28lTXnPK0KQsHQc
0.808,0.0734,99.989,0.0433,0.44,0.000773,4,0.71,2,226003,-6.703,0.392,0,audio_features,spotify:track:6XXYdF6pJR1K3wKvuxmu7n
0.479,0.283,100.003,0.193,0.915,0.0619,4,0.705,7,214871,-9.302,0.322,0,audio_features,spotify:track:1nUbphxI46m0KJDQnan2i1
0.785,0.369,160.045,0.0378,0.0334,0.0,4,0.563,2,222187,-4.434,0.384,1,audio_features,spotify:track:0J79k5KmsF1rM7a1Pc4fNe
0.664,0.116,128.945,0.0464,0.634,0.0,4,0.566,4,241688,-5.303,0.437,0,audio_features,spotify:track:3dYD57lRAUcMHufyqn9GcI
0.665,0.103,104.957,0.0758,0.0549,0.0,4,0.817,9,215460,-6.224,0.662,0,audio_features,spotify:track:2pWOMNQJW3g2zmGjP0Vkb0
0.752,0.225,191.977,0.372,0.214,0.0,4,0.68,11,275400,-3.987,0.461,1,audio_features,spotify:track:6fIVDVyzymH4OAlNhJ93k3
0.688,0.105,103.982,0.0565,0.238,1.93e-05,4,0.851,11,259600,-4.038,0.732,1,audio_features,spotify:track:5m3jpKkgkfoMcym1qjToFg
0.803,0.136,91.987,0.126,0.602,0.00853,4,0.807,11,258800,-4.156,0.706,1,audio_features,spotify:track:5W83ErFkO3aKAIS1WMi6u0
0.715,0.0574,101.085,0.298,0.295,0.000134,4,0.803,2,200960,-3.28,0.574,1,audio_features,spotify:track:0MvxgmXHMXh70GpnR0mKkT
0.473,0.109,133.449,0.0345,0.326,0.000124,4,0.396,10,219027,-7.67,0.385,0,audio_features,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f
0.769,0.0928,122.507,0.0422,0.0142,0.0,4,0.316,0,321147,-5.283,0.127,0,audio_features,spotify:track:27IZXTdeGYjU6m5lTyDpmr
0.406,0.108,119.993,0.0395,0.859,0.0131,4,0.813,6,155973,-13.72,0.794,0,audio_features,spotify:track:2TkyyKvoQbuTYcHMlJYsrP
0.453,0.0903,134.904,0.0467,0.543,0.0158,4,0.55,5,224600,-13.359,0.152,0,audio_features,spotify:track:2ciYXl6qAqMicL9eQGQNTx
0.508,0.108,82.008,0.035,0.144,0.0,4,0.702,8,252337,-7.105,0.143,1,audio_features,spotify:track:4EjZUMyhC59LDHPILsra5u
0.762,0.162,138.058,0.216,0.219,0.0,4,0.885,8,189733,-5.513,0.605,0,audio_features,spotify:track:1AI7UPw3fgwAFkvAlZWhE0
0.302,0.268,92.8,0.0354,0.724,0.0,4,0.583,3,177000,-8.097,0.496,0,audio_features,spotify:track:2uKDcfavYygXfd8E15ec0d
0.63,0.293,117.945,0.0348,0.00462,0.0,4,0.557,6,214000,-5.558,0.49,0,audio_features,spotify:track:5H3oNfUXrqQuaFpIJN2q2C
0.733,0.193,89.992,0.0693,0.0334,0.00193,4,0.558,8,237140,-6.65,0.173,1,audio_features,spotify:track:2WWfjbHALIb3e7FMcj9mr4
0.679,0.64,166.045,0.0761,0.00474,6.57e-06,4,0.573,0,233813,-6.191,0.747,1,audio_features,spotify:track:7oZryU4VFbqOxT0bRceSjj
0.855,0.335,120.045,0.0499,0.0124,0.0,4,0.669,0,227280,-3.035,0.648,0,audio_features,spotify:track:62zFEHfAYl5kdHYOivj4BC
0.723,0.14,113.778,0.0566,0.179,1.23e-05,4,0.661,5,163805,-6.976,0.316,0,audio_features,spotify:track:7Feaw9WAEREY0DUOSXJLOM
0.755,0.0795,97.063,0.05,0.0533,1.15e-05,4,0.667,11,180816,-5.893,0.472,0,audio_features,spotify:track:6TNK1SFt77MvTFoiTloiFQ
0.475,0.122,143.175,0.0417,0.643,0.0,4,0.663,1,191027,-8.834,0.644,1,audio_features,spotify:track:4fXGWiVhlOLdhwRDP6pIFG
0.521,0.108,97.245,0.0273,0.276,0.0534,4,0.561,9,177227,-6.934,0.245,0,audio_features,spotify:track:2Y4Wq7jGZXNblLdM1StZsd
0.524,0.157,175.562,0.103,0.607,0.0,4,0.397,3,218854,-5.846,0.343,1,audio_features,spotify:track:3BeYDqr0sZU5883sl02De3
0.484,0.193,124.014,0.0298,0.196,0.0179,4,0.616,2,238893,-9.318,0.306,0,audio_features,spotify:track:2ZTvGAZD0DLePVY3e65lxW
0.508,0.139,99.063,0.0987,0.193,0.0,4,0.685,0,217287,-6.4,0.315,1,audio_features,spotify:track:5sIx4BlfYGuZeSLF40N9GH
0.708,0.116,94.478,0.0483,0.0891,0.0471,4,0.714,10,225600,-6.286,0.601,0,audio_features,spotify:track:6R1y3I91AIktu7qoKIugtH
0.69,0.143,106.034,0.1,0.282,0.001,4,0.799,7,352442,-7.252,0.682,1,audio_features,spotify:track:0GmiGIxXDNrePrHBpijYDp
0.63,0.17,118.628,0.031,0.447,0.039,4,0.634,1,270773,-8.277,0.489,0,audio_features,spotify:track:6H3kDe7CGoWYBabAeVWGiD
0.876,0.0729,123.994,0.0987,0.0539,4.45e-06,4,0.653,8,217867,-4.501,0.706,1,audio_features,spotify:track:7p9PpkZW3SQqUhR5VOhHOC
0.321,0.114,145.045,0.0931,0.693,0.0307,4,0.64,0,210376,-14.604,0.177,1,audio_features,spotify:track:7wC5eZcFS1Q1BsQ35DU6H4
0.318,0.0795,119.959,0.0478,0.896,0.00239,4,0.614,7,180933,-12.695,0.112,1,audio_features,spotify:track:04sN26COy28wTXYj3dMoiZ
0.719,0.106,82.914,0.0595,0.495,0.0,4,0.56,1,189187,-6.803,0.712,0,audio_features,spotify:track:0uQVkqWdjmjI2PyBeXHJDS
0.889,0.0789,115.036,0.0386,0.0209,0.0,4,0.516,0,312093,-4.237,0.453,0,audio_features,spotify:track:36DrLw8kpZY9QJIxutgfRy
0.781,0.119,143.971,0.0544,0.0168,0.0,4,0.508,0,246160,-6.919,0.35,1,audio_features,spotify:track:18mAggfWhdX9vcR4B5DwY3
0.483,0.115,120.19,0.0301,0.701,7.99e-06,4,0.675,0,197701,-8.095,0.358,0,audio_features,spotify:track:0lUt61v9PK6Qrl0GjkTXAw
