energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,genre
0.273,0.109,132.285,0.038,0.94,0.431,5,0.365,4,248965,-16.526,0.23800000000000002,0,audio_features,spotify:track:4HbeGjbt7u3pvwDk1vN7P0,
0.314,0.0892,75.056,0.0407,0.9420000000000001,0.6759999999999999,4,0.252,5,247808,-18.197,0.2,0,audio_features,spotify:track:0SUDiaR0qm30fXVGPjPvRp,
0.539,0.0589,107.531,0.0277,0.000655,0.005,4,0.701,2,312627,-8.968,0.752,1,audio_features,spotify:track:0z1b34WikhOH9ZxU8QDWcv,alternative rock mellow gold neo mellow pop rock rock
0.84,0.16899999999999998,108.022,0.0453,0.00534,0.342,4,0.6629999999999999,9,271136,-5.617999999999999,0.2,0,audio_features,spotify:track:4x6aawsLyPkF3aGPXGvbat,chillwave ninja
0.753,0.0559,116.948,0.0832,0.00472,0.000496,4,0.672,4,211843,-4.863,0.42100000000000004,1,audio_features,spotify:track:2WmsRaMVqKzM78EtK0jBzu,pop uk pop
0.478,0.355,142.998,0.10099999999999999,0.13699999999999998,0.00481,4,0.794,11,166528,-8.44,0.278,0,audio_features,spotify:track:4X8BdS36foKWrwH76QcKNS,indie rock modern rock
0.799,0.15,103.014,0.0261,0.0128,0.0,4,0.606,9,232907,-4.452,0.638,1,audio_features,spotify:track:5iFwAOB2TFkPJk8sMlxP8g,indie rockism
0.489,0.12300000000000001,112.641,0.0354,0.5820000000000001,0.0,4,0.466,10,167979,-6.151,0.401,1,audio_features,spotify:track:0gmgCD6OoJMcoK5af0exA2,big room dance pop edm electro house pop tropical house
0.7120000000000001,0.0677,149.998,0.11199999999999999,0.0185,0.0,4,0.758,7,193387,-3.781,0.795,1,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21,atl hip hop dance pop dirty south rap pop rap rap southern hip hop trap
0.8440000000000001,0.0723,113.324,0.0334,0.25,0.000678,4,0.7879999999999999,2,251240,-3.1310000000000002,0.382,1,audio_features,spotify:track:6ic8OlLUNEATToEFU3xmaH,dance pop pop pop rap post-teen pop
0.5870000000000001,0.105,111.97,0.0336,0.0505,0.0071400000000000005,4,0.855,8,177466,-4.5889999999999995,0.64,1,audio_features,spotify:track:1vxw6aYJls2oq3gW0DujAo,atl hip hop neo soul
0.693,0.0858,129.989,0.0981,0.14400000000000002,7.06e-06,4,0.884,9,187202,-8.597999999999999,0.5870000000000001,0,audio_features,spotify:track:3ju9dPdSqHHludcvb1V4M8,reggaeton chileno reggaeton flow
0.423,0.0777,145.039,0.0453,0.457,0.000306,4,0.6890000000000001,6,225549,-8.602,0.355,0,audio_features,spotify:track:1uRj7VzkLDX0Eip0Y3lqpy,electropop indie pop la indie pop
0.58,0.436,110.264,0.0278,0.35700000000000004,0.00035299999999999996,4,0.629,7,210300,-6.207999999999999,0.655,0,audio_features,spotify:track:7KX65PC1UZuImsUInThbav,british soul funk neo soul soul
0.201,0.0862,119.911,0.0347,0.888,0.0,4,0.573,6,268893,-8.192,0.17300000000000001,1,audio_features,spotify:track:1Y4P4dtL1a0Tz9sIZuSeC0,
0.7559999999999999,0.106,117.016,0.047,0.00632,0.00577,4,0.736,11,231847,-7.099,0.7120000000000001,1,audio_features,spotify:track:2NjO87HyT80fsgejd3PLYW,australian pop dance pop electropop pop post-teen pop viral pop
0.0909,0.14,90.075,0.0373,0.9590000000000001,4.59e-05,3,0.41700000000000004,7,162326,-15.526,0.10099999999999999,1,audio_features,spotify:track:31FBEeTXpaeCncCbCmS7ax,art pop pop
0.38799999999999996,0.107,142.961,0.033,0.603,0.0,3,0.59,5,166200,-9.288,0.506,0,audio_features,spotify:track:3gy8PSkBSyvPyWZazgQn0F,dance pop europop pop pop rap post-teen pop
0.353,0.105,138.059,0.0303,0.706,0.0,4,0.544,11,225039,-7.275,0.35700000000000004,0,audio_features,spotify:track:3ksNHUNCTP6Pan8rjFnmtw,dance pop pop post-teen pop
0.361,0.098,171.649,0.0738,0.8320000000000001,4.66e-06,4,0.483,0,193795,-7.888999999999999,0.307,1,audio_features,spotify:track:2ZTYlnhhV1UAReg7wIGolx,pop post-teen pop uk pop
0.9059999999999999,0.16899999999999998,81.994,0.228,0.0114,0.0,4,0.6509999999999999,0,229027,-5.29,0.579,1,audio_features,spotify:track:7CJQUfl628ppAuH2MnTptQ,pop pop rap r&b rap urban contemporary
0.9109999999999999,0.35200000000000004,163.069,0.071,0.0792,0.0,4,0.6409999999999999,1,165851,-6.916,0.8109999999999999,0,audio_features,spotify:track:2cAmsZQwOuWBFhdBr0Za9C,hip hop pittsburgh rap pop rap rap
0.46799999999999997,0.0935,129.961,0.0284,0.759,1.73e-05,4,0.56,9,194920,-6.792000000000001,0.124,1,audio_features,spotify:track:2MYP4ooZ8XgGDEByjtCP9N,folk-pop indie anthem-folk modern rock
0.44799999999999995,0.102,84.17200000000001,0.0291,0.109,2.45e-05,4,0.504,7,189235,-6.581,0.35700000000000004,0,audio_features,spotify:track:7LiB4afKxBBHzr3jxR6U1H,indie anthem-folk indie cafe pop pop uk contemporary r&b uk pop
0.214,0.126,165.993,0.0516,0.887,0.621,4,0.524,1,307168,-19.910999999999998,0.20800000000000002,0,audio_features,spotify:track:3mlYx1bWcPjDtm69hIWGUX,pop post-teen pop uk pop
0.38299999999999995,0.111,100.012,0.0407,0.475,0.000528,4,0.742,6,188746,-17.783,0.299,1,audio_features,spotify:track:7EesndxnjB8BgX5XvpqiQU,polish electronica
0.562,0.128,139.61700000000002,0.0315,0.6709999999999999,0.000607,4,0.382,2,226288,-5.744,0.11699999999999999,1,audio_features,spotify:track:5l43igI28lTXnPK0KQsHQc,boston folk chamber pop folk-pop indie anthem-folk indie folk indiecoustica new americana stomp and holler
0.8079999999999999,0.0734,99.98899999999999,0.0433,0.44,0.000773,4,0.71,2,226003,-6.702999999999999,0.392,0,audio_features,spotify:track:6XXYdF6pJR1K3wKvuxmu7n,dance pop pop post-teen pop
0.479,0.28300000000000003,100.00299999999999,0.193,0.915,0.0619,4,0.705,7,214871,-9.302,0.322,0,audio_features,spotify:track:1nUbphxI46m0KJDQnan2i1,
0.785,0.369,160.045,0.0378,0.0334,0.0,4,0.563,2,222187,-4.434,0.384,1,audio_features,spotify:track:0J79k5KmsF1rM7a1Pc4fNe,post-teen pop uk pop
0.664,0.11599999999999999,128.945,0.0464,0.634,0.0,4,0.5660000000000001,4,241688,-5.303,0.43700000000000006,0,audio_features,spotify:track:3dYD57lRAUcMHufyqn9GcI,irish singer-songwriter pop
0.665,0.10300000000000001,104.95700000000001,0.0758,0.0549,0.0,4,0.8170000000000001,9,215460,-6.224,0.662,0,audio_features,spotify:track:2pWOMNQJW3g2zmGjP0Vkb0,latin latin hip hop reggaeton tropical
0.752,0.225,191.977,0.37200000000000005,0.214,0.0,4,0.68,11,275400,-3.987,0.461,1,audio_features,spotify:track:6fIVDVyzymH4OAlNhJ93k3,cubaton pop venezolano
